Date,Match,Result,Score,Competition,Fecha,Rival,Condicion,Goles_Favor,Goles_Contra,Resultado,Resultado_Texto,Equipo,Diferencia_Goles,Porteria_Cero,Sin_Marcar,Marca_2_o_mas,Resuelto_Tras_Empate,Nota_Marcador
04 Sep 2025,Mauritius v Cape Verde Islands,W,0-2,FIFA World Cup,2025-09-04,Mauritius,Visitante,2,0,W,Victoria,Cabo Verde,2,True,False,True,False,Marcador principal
09 Sep 2025,Cape Verde Islands v Cameroon,W,1-0,FIFA World Cup,2025-09-09,Cameroon,Local,1,0,W,Victoria,Cabo Verde,1,True,False,False,False,Marcador principal
08 Oct 2025,Libya v Cape Verde Islands,D,3-3,FIFA World Cup,2025-10-08,Libya,Visitante,3,3,D,Empate,Cabo Verde,0,False,False,True,False,Marcador principal
13 Oct 2025,Cape Verde Islands v Swaziland,W,3-0,FIFA World Cup,2025-10-13,Swaziland,Local,3,0,W,Victoria,Cabo Verde,3,True,False,True,False,Marcador principal
13 Nov 2025,Iran v Cape Verde Islands,L,0-0 (5-4),Al Ain International Cup,2025-11-13,Iran,Visitante,0,0,L,Derrota,Cabo Verde,0,True,True,False,True,Marcador principal empatado; resultado oficial decidido posteriormente
17 Nov 2025,Cape Verde Islands v Egypt,L,1-1 (0-2),Al Ain International Cup,2025-11-17,Egypt,Local,1,1,L,Derrota,Cabo Verde,0,False,False,False,True,Marcador principal empatado; resultado oficial decidido posteriormente
27 Mar 2026,Chile v Cape Verde Islands,L,4-2,FIFA Series,2026-03-27,Chile,Visitante,2,4,L,Derrota,Cabo Verde,-2,False,False,True,False,Marcador principal
30 Mar 2026,Cape Verde Islands v Finland,W,1-1 (4-2),FIFA Series,2026-03-30,Finland,Local,1,1,W,Victoria,Cabo Verde,0,False,False,False,True,Marcador principal empatado; resultado oficial decidido posteriormente
